Entity_type,AR/FA_Name,Original_EN_Name,Tranformed_EN_Name,Category_of_Entity,Disambiguating_GEO_entities,GEOID_from_GEONAMES ,LAT,LNG,Granular/other_name,comments,Number_of_Camels,File,File_Name_in_AR/FA,File_Name_in_EN,Category_of_File_Name
Geographic,خير آباد,Khairābād,Khairabad,Village,Found in geonames w/certainty,42505,31.9131,48.4142,,,200,karkheh.txt,كرخه,Karkheh,River
Geographic,سورک,Sūrag,Surag,Village,Found in geonames w/certainty,43095,25.64674,58.82176,,"Not the actual village but the one on top of it, Surak is only five houses.",200,makran.txt,مكران,Makran ,Coast
Geographic,يكبوني,Yakbūni,Yakbuni,Unspecified,Found in geonames w/certainty,43161,25.66528,57.81611,,,10,jashk_district.txt,جاشک,Jashk district ,District
Geographic,قلعه منكلي,Mankali (Qal'eh-i-),Qaleh-i-Mankali,Unspecified,Found in geonames w/certainty,45522,28.8856,51.1666,Mangelī,,20,tangistan.txt,تنگستان,TANGISTAN,District
Geographic,كجين بالا,Gachīn Bāla,Gachin Bala,Village,Found in geonames w/certainty,48060,27.12667,55.875,,,30,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILAT,District
Geographic,چاه خرک,Kharg (Chāh),Chah Kharag,Village,Found in geonames w/certainty,48130,27.431,56.8874,,,20,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILAT,District
Geographic,حكمي,Hakami,Hakami,Village,Found in geonames w/certainty,48542,27.1764,57.02152,Ḩakamī-ye Bālā,,30,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,وادشت,Vādasht,Vadasht,Unspecified,Found in geonames w/certainty,48556,26.84222,57.04528,,,2,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,سركوالم,Sargūalam,Sargualam,Unspecified,Found in geonames w/certainty,48574,26.79306,57.03722,Sargalm,,2,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,باتل,Patal,Patal,Unspecified,Found in geonames w/certainty,48580,26.85556,57.06306,Pātal,,5,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,مخ جنكان,Mukhjangān,Mukhjangan,Village,Found in geonames w/certainty,48587,26.0635,57.2888,Mogh Changān,,10,biyaban.txt,بيابان,Biyaban,District
Geographic,قلموي,Qalamūi,Qalamui,Village,Found in geonames w/certainty,48606,26.38873,57.31553,Qal‘eh-ye Mū’ī,,5,biyaban.txt,بيابان,Biyaban,District
Geographic,سرخوها,Surkhūhā,Surkhuha,Village,Found in genomes w/uncertainty,48674,27.1832,53.0468,,"This is the geonames for Yard Khalaf, it's said to be nearby, but unclear where it is.",12,gabandi.txt,كابندي,Gabandi,Valley
Geographic,يرد خلف,Khalaf (Yard),Yard Khalaf ,Village,Found in geonames w/certainty,48674,27.1832,53.0468,,,20,gabandi.txt,كابندي,Gabandi,Valley
Geographic,نخل مقبل,Muqbil (Nakhl),Nakhl Muqbil ,Village,Found in geonames w/certainty,48713,27.20667,53.03,Naran,,3,gabandi.txt,كابندي,Gabandi,Valley
Geographic,مليكي,Mīlaki,Milaki,Village,Found in geonames w/certainty,48728,27.2412,53.0051,,,5,gabandi.txt,كابندي,Gabandi,Valley
Geographic,چيكلو,Chaikalau,Chaikalau,Unspecified,Found in geonames w/certainty,68725,25.68333,58.4,,,20,jashk_district.txt,جاشک,Jashk district ,District
Geographic,كوت سوادي,Suwādi (Kūt),Kut Suwadi ,Village,Found in geonames w/certainty,94064,30.48478,47.95456,,,10,arab_shatt_al.txt,شطّ العرب, Arab (Shatt-al-),River
Geographic,خوره,Khorah,Khorah,Village,Found in geonames w/certainty,99157,30.3183,48.186,,,8,arab_shatt_al.txt,شطّ العرب, Arab (Shatt-al-),River
Geographic,حلّه,Hillah town,Hillah ,Town,Found in geonames w/certainty,99347,32.46367,44.41963,,,700,hillah_town.txt,حلّه,Hillah town,Town
Geographic,دعيجي,Da'aiji,Daaiji,Village,Found in geonames w/certainty,99761,30.48226,48.01862,Qaryat ad Da‘yjī,,20,arab_shatt_al.txt,شطّ العرب,Arab (Shatt-al-),River
Geographic,ابو الخضيب,Khasīb (Abul),Abul Khasib ,Town,Found in geonames w/certainty,100050,30.44636,47.97813,,,50,khasib_abul.txt,ابو الخضيب,Khasib (Abul),Town
Geographic,عشيره,Ashairah,Ashairah,Village,Found in geonames w/certainty,100661,25.59949,45.79687,,,200,sadair.txt,سدير,SADAIR,District
Geographic,عنيزه, 'Anaizah,Anaizah,Town,Found in geonames w/certainty,100768,26.08793,43.96368,,,1000,anaizah.txt,عنيزه,Anaizah,Town
Geographic,شقره,SHAQRAH,Shaqrah,Town,Found in geonames w/certainty,102170,25.24019,45.25104,,,500,shaqrah.txt,شقره,SHAQRAH,Town
Geographic,نطاع,NTĀ',Nta,Village,Found in geonames w/certainty,103522,27.21598,48.42359,,,30,nta_.txt,نطاع,NTA',Village
Geographic,نجد,NAJD,Najd,Unspecified,Found in geonames w/certainty,103644,25,44.5,,,20,najd.txt,نجد,NAJD,Unspecified
Geographic,منفوحه,Manfūhah,Manfuhah,Village,Found in geonames w/certainty,104433,24.59918,46.7278,,,30,hanifah_wadi.txt,وادي حليفه,Hanifah (Wadi),Valley
Geographic,جلاجل,Jalājil,Jalajil,Unspecified,Found in geonames w/certainty,105471,25.67865,45.45141,,,400,sadair.txt,سدير,SADAIR,District
Geographic,حرمه,Harmah,Harmah,Village,Found in geonames w/certainty,106062,25.92625,45.32967,,,300,sadair.txt,سدير,SADAIR,District
Geographic,بريده,Buraidah,Buraidah,Town,Found in geonames w/certainty,107304,26.32599,43.97497,,,1000,buraidah.txt,بريده,Buraidah,Town
Geographic,عين ابن فهيد,Fahaid ('Ain Ibn-),Ain Ibn Fahaid ,Village,Found in geonames w/certainty,107840,26.77157,44.2071,,,50,qasim.txt,قصيم نجد,QASIM / MIDDLE NAJD,District
Geographic,صرّار,Sarrār,Sarrar,Village,Found in geonames w/certainty,108098,26.9829,48.38653,,,30,miyah_wadi_al.txt,وادي المياه,MIYAH (WADI-AL-),Valley
Geographic,سمليّه/سليميّه,Salamiyah \ Sulaimīyah,Salamiyah / Sulaimiyah,Village,Found in geonames w/certainty,108120,24.20154,47.28872,,,200,kharj.txt,خرج,Kharj,District
Geographic,يمامه,Yamāmah,Yamamah,Village,Found in geonames w/certainty,108738,24.18211,47.32775,,,300,kharj.txt,خرج,Kharj,District
Geographic,مجمح,Majma,Majma,Town,Found in geonames w/certainty,109194,25.91097,45.35665,Al Majma'ah,,600,majma.txt,مجمح,Majma,Town
