FILE,NAME,GEOID,LAT,LNG,WELLS,WELLTYPE,DEPTH,WATERTYPE,NOTES
qatar.txt,Falītah (Jazīrat Abu),290055,25.61794,50.92365,0,,,,
qatar.txt,Hawār (Jazīrat),7284881,25.64462,50.76765,0,,,,
qatar.txt,Nakhsh (Jabal-al),,24.874167,50.903611,0,,,,
qatar.txt,Rahhāl (Dōhat Bin-),11208098,25.8696,50.97367,0,,,,
qatar.txt,Rubādh (Jazīrat),290147,25.75083,50.78167,0,,,,
qatar.txt,Marūnah (Rāssal-),289728,25.99255,51.3988,1,unspecified,,bad,
qatar.txt,Da'asah (Rās),10372009,25.40263,50.75448,1,masonry,,good,
qatar.txt,Faishshākh (Dōhat),289805,25.61373,50.95331,1,masonry,,good,
qatar.txt,Adhām (Ummal-),289591,25.81667,51.15,1,masonry,10,good,
qatar.txt,Aqdah,290015,25.68695,51.4738,1,masonry,2,good,
qatar.txt,Aqlām,11206994,25.90872,51.5325,1,unlined,1,indifferent,
qatar.txt,Araiq-ash-Shamāli,,,,1,masonry,5,indifferent,not located
qatar.txt,Aras,289894,25.58333,51.3,1,masonry,20,good,
qatar.txt,Aswaijah (Umm),289557,25.65,51.45,1,masonry,6,good,
qatar.txt,Awainat Hasan,406678,26.0807,51.30618,1,masonry,4,good,
qatar.txt,Awainat-ash-Shuyūkh,11208388,26.03604,51.10124,1,masonry,8,good,
qatar.txt,Awaisah (Abu),,,,1,masonry,4,good,
qatar.txt,Busaiyir-al-'Aqār,290004,25.71392,51.05215,1,masonry,27,good,
qatar.txt,Busaiyir-al-'Aud,290005,25.39655,51.20131,1,masonry,27,good,
qatar.txt,Busaiyir Bin-Jīmāz,,,,1,masonry,8,good,not located
qatar.txt,Busaiyir-az-Zor,,,,1,masonry,3,good,not located
qatar.txt,Dhā'an (Umm),,,,1,masonry,3,good,not located
qatar.txt,Filīhah,11207008,26.02284,51.34091,1,masonry,3,good,
qatar.txt,Ghailam (Ummal-),406783,25.99983,51.29953,1,masonry,6,good,
qatar.txt,Ghuwair,289994,25.86556,51.28009,1,masonry,5,good,
qatar.txt,Ghuwairīyah,289993,25.82882,51.24567,1,masonry,8,good,
qatar.txt,Hadhan,11207255,25.65594,51.49768,1,unlined,7,good,
qatar.txt,Hamāmah,11207529,25.44623,51.47328,1,masonry,2,brackish,
qatar.txt,Hamār (Abu),11207206,25.81024,51.46926,1,masonry,6,good,
qatar.txt,Hasa (Bū),11207434,25.72789,51.51603,1,unspecified,,unspecified,
qatar.txt,Jadidah,,,,1,masonry,4,indifferent,not located
qatar.txt,Jassāsi,11207167,25.94753,51.42029,1,masonry,3,good,
